Date,eps,netIncome
2024-09-30,0.72,2167000000
2024-06-30,0.52,1478000000
2024-03-31,0.45,1129000000
2023-12-31,0.71,7928000000
2023-09-30,0.66,1853000000
2023-06-30,0.91,2703000000
2023-03-31,0.85,2513000000
2022-12-31,1.19,3687000000
2022-09-30,1.05,3292000000
2022-06-30,0.76,2259000000
2022-03-31,1.07,3318000000
2021-12-31,0.85,2321000000
2021-09-30,0.62,1618000000
2021-06-30,0.48,1142000000
2021-03-31,0.31,438000000
2020-12-31,0.27,270000000
2020-09-30,0.25,331000000
2020-06-30,0.15,104000000
2020-03-31,0.08,16000000
2019-12-31,0.14,105000000
2019-09-30,0.12,143000000
2019-06-30,-0.07,-408000000
2019-03-31,-0.12,-702000000
2018-12-31,0.13,140000000
2018-09-30,0.19,311000000
2018-06-30,-0.16,-718000000
2018-03-31,-0.22,-709000000
2017-12-31,-0.2,-675350000
2017-09-30,-0.19,-619376000
2017-06-30,-0.09,-336397000
2017-03-31,-0.09,-330277000
2016-12-31,-0.14,-121337000
2016-09-30,0.14,21878000
2016-06-30,-0.07,-293188000
2016-03-31,-0.04,-282267000
2015-12-31,-0.87,-320397000
2015-09-30,-0.04,-229858000
2015-06-30,-0.03,-184227000
2015-03-31,-0.36,-154181000
2014-12-31,-0.01,-107630000
2014-09-30,0.02,-74708000
2014-06-30,0.01,-61900000
2014-03-31,0.01,-49800000
2013-12-31,0.02,-16264000
2013-09-30,0.01,-38496000
2013-06-30,0.01,-30502000
2013-03-31,0.01,11248000
2012-12-31,-0.04,-89932000
2012-09-30,-0.06,-110804000
2012-06-30,-0.06,-105603000
2012-03-31,-0.05,-89873000
2011-12-31,-0.05,-81488000
2011-09-30,-0.04,-65078000
2011-06-30,-0.04,-58903000
2011-03-31,-0.03,-48941000
2010-12-31,-0.03,-51358000
2010-09-30,-0.02,-34935000
2010-06-30,-0.0271,-38517000
